Sno,Hospital Id,Hospital Name,State,District,,,,Hospital Contact,Specialities Selected,Hospital Type,Empanelment Type,Submitted Date,Status Updated Date,Application Status,OnBoarded For Convergence Scheme,Upgraded Specialities,Current Specialities
42,02004022,Civil Hospital Anni,HIMACHAL PRADESH,KULLU,,,,8894166108,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
43,02004023,COMMUNITY HEALTH CENTER,HIMACHAL PRADESH,KULLU,,,,7018400315,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
44,02004025,Civil Hospital Manali,HIMACHAL PRADESH,KULLU,,,,9459885666,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"MG,MP,SB,","S1, MG, MP, SB"
45,02004026,Ayurvedic  Hospital  katrai,HIMACHAL PRADESH,KULLU,,,,9418011033,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
46,02004027,District Ayurvedic Hospital Kullu,HIMACHAL PRADESH,KULLU,,,,9418186331,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
47,02005020,CIVIL HOSPITAL SUNDERNAGAR,HIMACHAL PRADESH,MANDI,,,,9459060969,"M1,M7,M2,S1,S16,S2,S3,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"BM,ER,IN,MC,MN,MO,MR,NA,SC,SO,SP,SS,SU,SV,","M1, M7, M2, S1, S16, S2, S3, S5, BM, ER, IN, MC, MN, MO, MR, NA, SC, SO, SP, SS, SU, SV"
48,02005021,CIVIL HOSPITAL KARSOG,HIMACHAL PRADESH,MANDI,,,,9736417870,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M1,M7,M2,S1,S16,S2,S3,S4,S5,S6,","M1, M7, M2, S1, S16, S2, S3, S4, S5, S6"
49,02005022,Civil hospital Joginder nagar,HIMACHAL PRADESH,MANDI,,,,8309593307,"M1,M7,M2,S1,S3,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S3"
50,02005023,Referal hospital Sarkaghat,HIMACHAL PRADESH,MANDI,,,,9816094009,"M1,M7,S2,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,S3,","M1, M7, S2, S5, S1, S3"
51,02005024,Civil hospital Sandole,HIMACHAL PRADESH,MANDI,,,,1905273223,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
52,02005025,Primary Health Centre Pdher,HIMACHAL PRADESH,MANDI,,,,9459054750,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
53,02005026,Primary Health Centre Kotli,HIMACHAL PRADESH,MANDI,,,,1905281231,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
54,02005027,CIVIL  HOSPITAL  GOHAR,HIMACHAL PRADESH,MANDI,,,,9882424968,"M1,M7,M2,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2"
55,02005028,Primary Health Centre Baldavada,HIMACHAL PRADESH,MANDI,,,,9817650746,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
56,02005029,Primary Health Centre Ratti,HIMACHAL PRADESH,MANDI,,,,7018587253,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
57,02005030,Primary Health Centre Bhagshad,HIMACHAL PRADESH,MANDI,,,,9418662911,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
58,02005031,Primary Health Centre Dharampur,HIMACHAL PRADESH,MANDI,,,,8219207756,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
59,02005032,Primary Health Centre Janjali,HIMACHAL PRADESH,MANDI,,,,9418128839,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S1
60,02005034,Distt  Ayurvedic  Hospital Mandi,HIMACHAL PRADESH,MANDI,,,,9459871297,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,S1,S5,","S1, M1, M7, S5"
61,02005035,Ayurvedic  Hospital  Joginder nagar,HIMACHAL PRADESH,MANDI,,,,8219994923,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
62,02005036,CH NAGWAIN,HIMACHAL PRADESH,MANDI,,,,7018411054,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
63,02005038,NETAJI SUBHASH CHANDER BOSE ZONAL HOSPITAL MANDI,HIMACHAL PRADESH,MANDI,,,,8627973633,"M1,M7,M2,M3,S1,S15,S16,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S2,","M1, M7, M2, M3, S1, S15, S16, S3, S4, S5, S2"
64,02006011,COMMUNITY HEALTH CENTRE Naduan,HIMACHAL PRADESH,HAMIRPUR,,,,1972232248,"M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
65,02006012,COMMUNITY HEALTH CENTRE Galore,HIMACHAL PRADESH,HAMIRPUR,,,,9459336941,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
66,02006014,Distt  Ayurvedic  Hospital HAMIRPUR,HIMACHAL PRADESH,HAMIRPUR,,,,7018789139,"M1,M1,M7,M2,S1,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, S1, S5"
67,02006015,COMMUNITY HEALTH CENTRE Bhoranj,HIMACHAL PRADESH,HAMIRPUR,,,,9816144162,"S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S10,S11,S12,S13,S14,S15,S16,S2,S3,S4,S5,S6,S7,S8,S9,","S1, M1, M2, S8, M7, S7, M3, M4, M5, M6, M8, S10, S11, S12, S13, S14, S15, S16, S2, S3, S4, S5, S6, S9"
68,02006018,REGIONAL HOSPITAL HAMIRPUR,HIMACHAL PRADESH,HAMIRPUR,,,,7807571723,"M1,M7,S1,S2,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M1,M2,S8,M1,M7,M1,S7,M2,M3,M4,M5,M6,M8,S10,S11,S12,S13,S14,S15,S16,S3,S6,S7,S8,S9,","M1, M7, S1, S2, S4, S5, M2, S8, S7, M3, M4, M5, M6, M8, S10, S11, S12, S13, S14, S15, S16, S3, S6, S9"
69,02006019,CIVIL HOSPITAL TAUNI DEVI,HIMACHAL PRADESH,HAMIRPUR,,,,7018637416,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,S1,S10,S11,S16,","M1, M7, S1, S10, S11, S16"
70,02006020,COMMIUNITY HEALTH CENTRE BARSAR,HIMACHAL PRADESH,HAMIRPUR,,,,7876065794,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,S14,S2,S4,S5,","M1, M7, S1, S14, S2, S4, S5"
71,02006021,COMMUNITY HEALTH CENTRE SUJANPUR TIRA,HIMACHAL PRADESH,HAMIRPUR,,,,9816415711,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,","M1, M7, S1"
72,02007018,Regional Hospital Una Una,HIMACHAL PRADESH,UNA,,,,8894880934,"M1,M7,M2,M3,S1,S2,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, M3, S1, S2, S4, S5"
73,02007019,CIVIL HOSPITAL Chintpurni,HIMACHAL PRADESH,UNA,,,,9418276192,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
74,02007020,COMMUNITY HEALTH CENTRE Haroli,HIMACHAL PRADESH,UNA,,,,9418460744,"M1,M7,S16,S3,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S16, S3"
75,02007021,CIVIL HOSPITAL GAGRET,HIMACHAL PRADESH,UNA,,,,8580913353,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
76,02007023,COMMUNITY HEALTH CENTRE Amb,HIMACHAL PRADESH,UNA,,,,1976260274,"S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","S4, M1, M7"
77,02007025,Primary Health Centre Thanakalan,HIMACHAL PRADESH,UNA,,,,7018572016,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
78,02007026,Distt Ayurvedic  Hospital Una,HIMACHAL PRADESH,UNA,,,,9816435054,"M1,M1,M7,S1,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1"
79,02007027,Ayurvedic  Hospital Ispur una,HIMACHAL PRADESH,UNA,,,,9418057723,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,","M1, M7, S1"
80,02007030,CHC Daulatpur Chowk,HIMACHAL PRADESH,UNA,,,,7018212278,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
81,02007031,COMMUNITY HEALTH CENTRE Bangana,HIMACHAL PRADESH,UNA,,,,9816885103,"S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","S16, M1, M7"
82,02008011,REGIONAL HOSPITAL BILASPUR,HIMACHAL PRADESH,BILASPUR,,,,1978222586,"S2,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,M5,M8,MP,S10,S11,S15,S7,S8,S9,SB,SE,SG,SM,SO,","S2, M1, M7, M5, M8, MP, S10, S11, S15, S7, S8, S9, SB, SE, SG, SM, SO"
83,02008012,CIVIL HOSPITAL GHUMARWIN,HIMACHAL PRADESH,BILASPUR,,,,9736832799,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,","M1, M7, S1"
84,02008013,Civil Hospital Markand,HIMACHAL PRADESH,BILASPUR,,,,9805740451,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
85,02008014,COMMUNITY HEALTH CENTRE  Bharari,HIMACHAL PRADESH,BILASPUR,,,,1978273056,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
86,02008015,COMMUNITY HEALTH CENTRE BARTHIN,HIMACHAL PRADESH,BILASPUR,,,,7020605658,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
87,02008016,COMMUNITY HEALTH CENTRE JHANDUTA,HIMACHAL PRADESH,BILASPUR,,,,1978272024,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
88,02008017,COMMUNITY HEALTH CENTRE NAINA DEVI,HIMACHAL PRADESH,BILASPUR,,,,9418462690,"S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","S16, M1, M7"
89,02008018,Ayurvedic  Hospital KANDRAUR,HIMACHAL PRADESH,BILASPUR,,,,7018169277,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,","M1, M7, S1"
90,02008020,Distt  Ayurvedic  Hospital Bilaspur,HIMACHAL PRADESH,BILASPUR,,,,1978224031,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
91,02009024,Regional HospitalSolan,HIMACHAL PRADESH,SOLAN,,,,1792223638,"M1,M7,M2,M3,S1,S2,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M4,M5,M6,M8,S12,S15,S16,","M1, M7, M2, M3, S1, S2, S3, S4, S5, M4, M5, M6, M8, S12, S15, S16"
92,02009026,Civil HospitalKandaghat,HIMACHAL PRADESH,SOLAN,,,,7807102286,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
93,02009027,E S I  Hospital Parwanoo,HIMACHAL PRADESH,SOLAN,,,,9817267755,"M2,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M1,M7,M2,S1,S16,S2,S3,S4,S5,","M2, S4, M1, M7, S1, S16, S2, S3, S5"
94,02009028,Civil HospitalArki,HIMACHAL PRADESH,SOLAN,,,,7018982336,"M1,M7,S1,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, S1, S4"
95,02009032,Civil Hospital Kunihar,HIMACHAL PRADESH,SOLAN,,,,8988313804,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
96,02009037,AYURVEDIC HOSPITAL NALAGARH,HIMACHAL PRADESH,SOLAN,,,,9736242577,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
97,02009041,COMMUNITY HEALTH CENTRE Nalagarh,HIMACHAL PRADESH,SOLAN,,,,1795221204,"M1,M1,M7,S1,S2,S4,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M8,S12,S16,S3,S5,S8,S9,","M1, M7, S1, S2, S4, M8, S12, S16, S3, S5, S8, S9"
98,02009042,DISTT AYURVEDIC HOSPITAL SOLAN,HIMACHAL PRADESH,SOLAN,,,,9418824625,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
99,02010012,Distt Ayurvedic Hospital Nahan,HIMACHAL PRADESH,SIRMAUR,,,,9418060343,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
100,02010013,Regional HospitalNahan,HIMACHAL PRADESH,SIRMAUR,,,,7018282208,"M1,M1,M7,M2,M5,M8,S1,S16,S2,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7, M2, M5, M8, S1, S16, S2, S3, S4, S5"
101,02010014,Civil HospitalRajgarh,HIMACHAL PRADESH,SIRMAUR,,,,7018154547,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,S3,SB,","M1, M7, S1, S3, SB"
102,02010015,Civil Hospital Paonta,HIMACHAL PRADESH,SIRMAUR,,,,1704222172,"M1,M7,M2,S16,S3,S4,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S1,","M1, M7, M2, S16, S3, S4, S5, S1"
103,02010016,Civil Hospital Dadahu,HIMACHAL PRADESH,SIRMAUR,,,,8988403270,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
104,02010017,Civil Hospital Sarahan,HIMACHAL PRADESH,SIRMAUR,,,,7831981145,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
105,02010019,PRIMARY HEALTH CENTRE NauraDhar,HIMACHAL PRADESH,SIRMAUR,,,,9876759182,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
106,02010022,COMMUNITY HEALTH CENTRE Sangrah,HIMACHAL PRADESH,SIRMAUR,,,,9816441397,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
107,02011033,INDIRA GANDHI MEDICAL COLLAGE,HIMACHAL PRADESH,SHIMLA,,,,7018749191,"M1,M2,S8,M1,M7,M1,S7,M2,S1,S12,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"BM,ER,ID,IN,MM,MN,MO,MR,NA,OT,SC,SE,SL,SM,SN,SO,SP,SS,ST,SU,SV,","M1, M2, S8, M7, S7, S1, S12, S5, BM, ER, ID, IN, MM, MN, MO, MR, NA, OT, SC, SE, SL, SM, SN, SO, SP, SS, ST, SU, SV"
108,02011036,Civil Hospital THEOG,HIMACHAL PRADESH,SHIMLA,,,,7018008488,"M1,M7,M2,S1,S16,S2,S3,S5,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"S3,SO,SU,","M1, M7, M2, S1, S16, S2, S3, S5, SO, SU"
109,02011037,Civil Hospital JUBBAL,HIMACHAL PRADESH,SHIMLA,,,,1781252022,"S16,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,S16
110,02011038,Civil Hospital CHOPAL,HIMACHAL PRADESH,SHIMLA,,,,1783260022,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
111,02011039,Civil Hospital NERWA,HIMACHAL PRADESH,SHIMLA,,,,1783260022,"M1,M7,",Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,NA,"M1, M7"
112,02011040,COMMUNITY HEALTH CENTRE  (SANDASU ) CHIRGAON,HIMACHAL PRADESH,SHIMLA,,,,9129757777,NA,Public,PMJAY,-NA-,-NA-,Hospital Approved for Empanelment,No,"M1,M7,","M1, M7"
