Hospital Name,State,District
COMMIUNITY HEALTH CENTRE BARSAR,HIMACHAL PRADESH,HAMIRPUR
COMMUNITY HEALTH CENTRE SUJANPUR TIRA,HIMACHAL PRADESH,HAMIRPUR
Regional Hospital Una Una,HIMACHAL PRADESH,UNA
CIVIL HOSPITAL Chintpurni,HIMACHAL PRADESH,UNA
COMMUNITY HEALTH CENTRE Haroli,HIMACHAL PRADESH,UNA
CIVIL HOSPITAL GAGRET,HIMACHAL PRADESH,UNA
COMMUNITY HEALTH CENTRE Amb,HIMACHAL PRADESH,UNA
Primary Health Centre Thanakalan,HIMACHAL PRADESH,UNA
Distt Ayurvedic  Hospital Una,HIMACHAL PRADESH,UNA
Ayurvedic  Hospital Ispur una,HIMACHAL PRADESH,UNA
CHC Daulatpur Chowk,HIMACHAL PRADESH,UNA
COMMUNITY HEALTH CENTRE Bangana,HIMACHAL PRADESH,UNA
REGIONAL HOSPITAL BILASPUR,HIMACHAL PRADESH,BILASPUR
CIVIL HOSPITAL GHUMARWIN,HIMACHAL PRADESH,BILASPUR
Civil Hospital Markand,HIMACHAL PRADESH,BILASPUR
COMMUNITY HEALTH CENTRE  Bharari,HIMACHAL PRADESH,BILASPUR
COMMUNITY HEALTH CENTRE BARTHIN,HIMACHAL PRADESH,BILASPUR
COMMUNITY HEALTH CENTRE JHANDUTA,HIMACHAL PRADESH,BILASPUR
COMMUNITY HEALTH CENTRE NAINA DEVI,HIMACHAL PRADESH,BILASPUR
Ayurvedic  Hospital KANDRAUR,HIMACHAL PRADESH,BILASPUR
Distt  Ayurvedic  Hospital Bilaspur,HIMACHAL PRADESH,BILASPUR
Regional HospitalSolan,HIMACHAL PRADESH,SOLAN
Civil HospitalKandaghat,HIMACHAL PRADESH,SOLAN
E S I  Hospital Parwanoo,HIMACHAL PRADESH,SOLAN
Civil HospitalArki,HIMACHAL PRADESH,SOLAN
Civil Hospital Kunihar,HIMACHAL PRADESH,SOLAN
AYURVEDIC HOSPITAL NALAGARH,HIMACHAL PRADESH,SOLAN
COMMUNITY HEALTH CENTRE Nalagarh,HIMACHAL PRADESH,SOLAN
DISTT AYURVEDIC HOSPITAL SOLAN,HIMACHAL PRADESH,SOLAN
Distt Ayurvedic Hospital Nahan,HIMACHAL PRADESH,SIRMAUR
Regional HospitalNahan,HIMACHAL PRADESH,SIRMAUR
Civil HospitalRajgarh,HIMACHAL PRADESH,SIRMAUR
Civil Hospital Paonta,HIMACHAL PRADESH,SIRMAUR
Civil Hospital Dadahu,HIMACHAL PRADESH,SIRMAUR
Civil Hospital Sarahan,HIMACHAL PRADESH,SIRMAUR
PRIMARY HEALTH CENTRE NauraDhar,HIMACHAL PRADESH,SIRMAUR
COMMUNITY HEALTH CENTRE Sangrah,HIMACHAL PRADESH,SIRMAUR
INDIRA GANDHI MEDICAL COLLAGE,HIMACHAL PRADESH,SHIMLA
Civil Hospital THEOG,HIMACHAL PRADESH,SHIMLA
Civil Hospital JUBBAL,HIMACHAL PRADESH,SHIMLA
Civil Hospital CHOPAL,HIMACHAL PRADESH,SHIMLA
Civil Hospital NERWA,HIMACHAL PRADESH,SHIMLA
COMMUNITY HEALTH CENTRE  (SANDASU ) CHIRGAON,HIMACHAL PRADESH,SHIMLA
Civil Hospital Kumarsain,HIMACHAL PRADESH,SHIMLA
COMMUNITY HEALTH CENTRESuni,HIMACHAL PRADESH,SHIMLA
PRIMARY HEALTH CENTRE Mashobra,HIMACHAL PRADESH,SHIMLA
Ayurvedic HospitalRampur,HIMACHAL PRADESH,SHIMLA
DDU HOSPITAL SHIMLA,HIMACHAL PRADESH,SHIMLA
GOVT DENTAL COLLAGE,HIMACHAL PRADESH,SHIMLA
KNH SHIMLA,HIMACHAL PRADESH,SHIMLA
CIVIL HOSPITAL ROHRU,HIMACHAL PRADESH,SHIMLA
COMUNNITY HEALTH CENTRE KOTKHAI SHIMLA,HIMACHAL PRADESH,SHIMLA
REGIONAL AYURVEDIC HOSPITAL CHOTTA SHIMLA,HIMACHAL PRADESH,SHIMLA
MGMSCKHNERI  RAMPUR,HIMACHAL PRADESH,SHIMLA
Regional Hospital Reckong Peo,HIMACHAL PRADESH,KINNAUR
Project Hospital Bhavanagar,HIMACHAL PRADESH,KINNAUR
COMMUNITY HEALTHCENTRE Pooh,HIMACHAL PRADESH,KINNAUR
COMMUNITY HEALTH CENTRE Sangla,HIMACHAL PRADESH,KINNAUR
PRIMARY HEALTH CENTRE Nichar,HIMACHAL PRADESH,KINNAUR
Distt  Ayurvedic  Reckong Peo,HIMACHAL PRADESH,KINNAUR
Sri Lal Bahadur Shastri Govt Medical College and Hospital Mandi at Nerchowk,HIMACHAL PRADESH,MANDI
Eye mobile unit,HIMACHAL PRADESH,KANGRA
CHC KATAULA,HIMACHAL PRADESH,MANDI
CH TEGUBEHAR,HIMACHAL PRADESH,KULLU
AIMSS&12,HIMACHAL PRADESH,SHIMLA
CHC Ladbharol,HIMACHAL PRADESH,MANDI
CHC NIHRI,HIMACHAL PRADESH,MANDI
